,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
86,100593,AB2C3X8,100593,0.06,29,orthorhombic,P,336.0,336.0,336.0,336.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP336,a84,i,4,Na3_Nd1_O8_P2,4,Na+1,Nd+3,O-2,P+5,,,
87,10061,A2B4X5,10061,0.0455,15,monoclinic,C,22.0,44.0,44.0,44.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS44,f5_e,i,3,B2_Na4_O5,3,B+3,Na+1,O-2,,,,
88,10064,A4B10X9,10064,0.061,2,triclinic,P,46.0,46.0,46.0,46.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP46,i23,i,3,Co4_Na10_O9,3,Co+2,Na+1,O-2,,,,
89,10075,A13NO4X13,10075,0.036000000000000004,2,triclinic,P,62.0,62.0,62.0,62.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP62,i31,0,4,C13_Co4_Ge1_O13,4,C+2,Co+0,Ge+0,O-2,,,
90,10079,A4B10X13,10079,0.0476,2,triclinic,P,54.0,54.0,54.0,54.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP54,i27,i,3,Ag10_O13_Si4,3,Ag+1,O-2,Si+4,,,,
91,10080,A2B3X30,10080,0.057999999999999996,2,triclinic,P,79.0,79.0,79.0,79.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,aP79,i17_a,i,4,H44_Mg3_O30_P2,4,H+1,Mg+2,O-2,P+5,,,
92,100847,ABX4,100847,0.139,144,trigonal/rhombohedral,P,72.0,72.0,72.0,72.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hP72,a18,i,4,C1_H2_Ca1_O4,4,C+4,Ca+2,H+1,O-2,,,
93,10104,A2B3X10,10104,0.025,12,monoclinic,C,15.0,30.0,30.0,30.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mS30,j_i4_h_b,f,3,La3_O10_Os2,3,La+3,O-2,Os+5.5,,,,
94,10107,ABX3,10107,0.069,62,orthorhombic,P,60.0,60.0,60.0,60.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP60,d3_c9,i,3,Ba1_O3_Te1,3,Ba+2,O-2,Te+4,,,,
95,10128,A2B3C8X24,10128,0.222,166,trigonal/rhombohedral,R,37.0,111.0,111.0,111.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hR37,h4_c6_b,i,4,Ba8_O24_Re2_W3,4,Ba+2,O-2,Re+7,W+6,,,
96,10142,ABX3,10142,0.09,182,hexagonal,P,20.0,20.0,20.0,20.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hP20,i_f_c_b,i,3,O3_Sb1_Tl1,3,O-2,Sb+5,Tl+1,,,,
97,10163,AB2X6,10163,0.086,147,trigonal/rhombohedral,P,15.0,15.0,15.0,15.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,hP15,g_d_a,i,4,D6_Na2_O6_Pt1,4,D+1,Na+1,O-2,Pt+4,,,
98,10168,A12NO3X12,10168,0.037000000000000005,14,monoclinic,P,224.0,224.0,224.0,224.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP224,e56,0,4,C12_Bi1_Co3_O12,4,Bi+0,C+2,Co+0,O-2,,,
99,10182,ABX2,10182,0.032,57,orthorhombic,P,40.0,40.0,40.0,40.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP40,d5_c2_a,i,4,H2_N2_Na2_O4,4,H+1,N+2,Na+1,O-2,,,
100,10210,AB2X8,10210,0.077,55,orthorhombic,P,44.0,44.0,44.0,44.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,oP44,h3_g8,i,3,Mo1_O8_U2,3,Mo+6,O-2,U+5,,,,
101,10217,AB2C2X6,10217,0.06,4,monoclinic,P,22.0,22.0,22.0,22.0,badcount_n,po_n,undet_n,ct_n,noTemp,noPress,mP22,a11,i,4,Ba1_Na2_O6_Si2,4,Ba+2,Na+1,O-2,Si+4,,,
