Compound,formula,Z,Period,Group,m,kai,EA,Nval,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
BaCsSb,CsBaSb,54,5.666666667,6,130.6666667,1.243333333,0.513876667,0,5.904653,16.59709,2.723333333,1.946666667,735.1926667,1640.816667,0.217666667,28.50333333,4.028666667,9.93,91.97,0.262
AsBeCs,CsBeAs,30.66666667,4,6,72.27733333,1.513333333,0.42721,0,7.668401667,19.98592667,2.27,1.523333333,983.9833333,1524.816667,0.798666667,24.431,3.151333333,12.58,132.38,0.957
BeBr3Cs,CsBeBr3,32.8,4,10.8,76.3224,2.248,2.113326,0,9.731601,21.228316,2.102,1.376,531.93,936.23,0.6978,55.1446,2.6174,5.488,81.783,0.474532
BeCsCl3,CsBeCl3,22,3.4,10.8,49.6524,2.368,2.264526,0,10.423899,22.561876,2.042,1.274,475.35,880.526,0.7008,30.1,2.6738,3.928,79.068,0.4738534
BeCsF3,CsBeF3,17.2,2.8,10.8,39.7824,2.86,2.133726,0,13.097001,29.256196,1.874,1.034,404.448,788.084,0.9078,28.513,1.763,2.164,74.90988,0.4739674
BeCsI3,CsBeI3,43.6,4.6,10.8,104.5224,2.068,1.929786,0,8.914077,19.752496,2.18,1.49,604.47,1011.59,0.5418,42.3886,3.7094,6.664,85.488,0.476494
BeCsN,CsBeN,22,3.333333333,6,51.974,1.8,0.133876667,0,9.250235,23.65662667,2.17,1.36,641.65,1254.218333,1.035666667,25.92566667,1.659333333,3.466666667,122.5109333,0.789753267
BeCsP,CsBeP,24.66666667,3.666666667,6,57.62733333,1.516666667,0.406043333,0,7.901098333,20.37936,2.253333333,1.486666667,726.3666667,1412.983333,0.945333333,24.159,1.85,3.56,125.7133333,0.79045
BeCsSb,CsBeSb,36.66666667,4.333333333,6,87.904,1.47,0.513876667,0,7.274998333,19.33286,2.34,1.59,921.8593333,1848.483333,0.758,24.62766667,3.474666667,9.913333333,144.2366667,0.870666667
BrCs,CsBr,45,5,9,106.4,1.875,1.918315,0,7.8538525,22.37422,2.64,1.775,283.8,638.05,0.358,53.95,2.4995,3.945,41.2325,0.18011
AsCaCs,CsCaAs,36,4.666666667,6,82.63333333,1.323333333,0.42721,0,6.598555,17.87278667,2.53,1.773333333,835.65,1196.816667,0.406,27.593,3.052,12.77666667,84.93666667,0.957
Br3CaCs,CsCaBr3,36,4.4,10.8,82.536,2.134,2.113326,0,9.089693,19.960432,2.258,1.526,442.93,739.43,0.4622,57.0418,2.5578,5.606,53.317,0.474532
CaCl3Cs,CsCaCl3,25.2,3.8,10.8,55.866,2.254,2.264526,0,9.781991,21.293992,2.198,1.424,386.35,683.726,0.4652,31.9972,2.6142,4.046,50.602,0.4738534
CaCsF3,CsCaF3,20.4,3.2,10.8,45.996,2.746,2.133726,0,12.455093,27.988312,2.03,1.184,315.448,591.284,0.6722,30.4102,1.7034,2.282,46.44388,0.4739674
CaCsI3,CsCaI3,46.8,5,10.8,110.736,1.954,1.929786,0,8.272169,18.484612,2.336,1.64,515.47,814.79,0.3062,44.2858,3.6498,6.782,57.022,0.476494
CaCsN,CsCaN,27.33333333,4,6,62.33,1.61,0.133876667,0,8.180388333,21.54348667,2.43,1.61,493.3166667,926.2183333,0.643,29.08766667,1.56,3.663333333,75.0676,0.789753267
