name,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
CaAl2O4,11.1428571429,2.57142857143,13.1428571429,22.5771428571,2.56857142857,0.960926571429,10.3652708571,27.1447457143,1.72428571429,0.968571428571,457.076571429,1100.31457143,0.873285714286,27.4058571429,1.80942857143,4.404,107.130514286,0.964438514286
CaBr2,30.0,4.0,12.0,66.6266666667,2.30666666667,2.24333333333,9.91358666667,18.35124,2.00333333333,1.36,549.016666667,807.016666667,0.531666666667,59.103,2.59666666667,6.71333333333,61.3733333333,0.670813333333
CaCl2,18.0,3.33333333333,12.0,36.9933333333,2.44,2.41133333333,10.6828066667,19.8329733333,1.93666666667,1.24666666667,486.15,745.123333333,0.535,31.2756666667,2.65933333333,4.98,58.3566666667,0.670059333333
CaF2,12.6666666667,2.66666666667,12.0,26.0266666667,2.98666666667,2.266,13.65292,27.2711066667,1.75,0.98,407.37,642.41,0.765,29.5123333333,1.64733333333,3.02,53.7365333333,0.670186
CaI2,42.0,4.66666666667,12.0,97.96,2.10666666667,2.0394,9.00522666667,16.71144,2.09,1.48666666667,629.616666667,890.75,0.358333333333,44.9296666667,3.81,8.02,65.49,0.672993333333
CaIn2O4,21.4285714286,3.14285714286,13.1428571429,47.6685714286,2.61714285714,0.920640857143,10.3082971429,27.1566742857,1.75,1.02,313.155714286,959.743142857,0.683571428571,28.1315714286,3.12657142857,2.27828571429,88.7162285714,0.520438514286
CaO,14.0,3.0,9.0,28.04,2.22,0.73056075,9.865605,23.49641,1.915,1.19,584.755,923.669,0.7825,27.6535,1.4895,4.381,79.04045,1.0051337
CaS,18.0,3.5,9.0,36.075,1.79,1.03856,8.236585,17.6048,2.055,1.39,751.755,1237.455,0.6775,24.3145,1.755,5.135,82.335,1.006345
CaSc2O4,13.4285714286,2.85714285714,10.2857142857,27.7142857143,2.49714285714,0.888640857143,10.5297628571,25.4222371429,1.81285714286,1.06857142857,708.698571429,1190.886,0.779285714286,27.783,1.89085714286,5.91828571429,111.130514286,0.332438514286
CaSe,27.0,4.0,9.0,59.52,1.775,1.01,7.932775,16.53086,2.105,1.46,804.55,1357.65,0.484,25.646,3.1845,6.97,90.495,1.0152
CaTe,36.0,4.5,9.0,83.84,1.55,0.9854,7.56138,15.23586,2.185,1.555,918.905,1509.15,0.4245,25.8295,3.895,13.02,102.65,1.01675
CaY2O4,18.5714285714,3.14285714286,10.2857142857,40.2714285714,2.45714285714,0.922640857143,10.4314228571,25.2577314286,1.86142857143,1.11714285714,703.27,1336.31457143,0.702142857143,28.0715714286,2.31571428571,4.604,127.8448,0.336438514286
Cd3As2,42.0,4.6,13.2,97.408,1.886,0.324,9.311732,17.580666,2.048,1.32,792.5914,979.75,0.2702,25.468,7.4808,14.86,72.882,0.7816
Cd3N2,31.6,3.8,13.2,73.044,2.23,-0.028,11.209932,21.985506,1.928,1.124,381.7914,655.032,0.5546,27.2616,5.6904,3.924,61.03912,0.58090392
Cd3P2,34.8,4.2,13.2,79.828,1.89,0.2986,9.590968,18.052786,2.028,1.276,483.4514,845.55,0.4462,25.1416,5.9192,4.036,64.882,0.58174
CdBr2,39.3333333333,4.33333333333,15.3333333333,90.7333333333,2.53666666667,2.24333333333,10.8738066667,20.0301033333,1.96,1.24666666667,375.373,568.016666667,0.393,59.1333333333,4.96333333333,5.96666666667,43.1066666667,0.32348
CdCl2,27.3333333333,3.66666666667,15.3333333333,61.1,2.67,2.41133333333,11.6430266667,21.5118366667,1.89333333333,1.13333333333,312.506333333,506.123333333,0.396333333333,31.306,5.026,4.23333333333,40.09,0.322726
