formula,Z,Period,Group,m,kai,EA,IE1,IE2,Rvdw,Rcov,MP,BP,Cp_g,Cp_mol,rho,E-fusion,E-vapor,ThermalConductivity
LiMgAs,16.0,3.0,6.0,35.3903333333,1.49,0.476,7.60885133333,36.42149,1.8,1.3,822.316666667,1289.15,1.64466666667,24.7896666667,2.66666666667,13.1333333333,102.366666667,0.969666666667
LiMgBr3,24.0,3.4,10.8,54.1902,2.234,2.1426,9.6958708,31.089654,1.82,1.242,434.93,794.83,1.2054,55.3598,2.3266,5.82,63.775,0.482132
LiMgCl3,13.2,2.8,10.8,27.5202,2.354,2.2938,10.3881688,32.423214,1.76,1.14,378.35,739.126,1.2084,30.3152,2.383,4.26,61.06,0.4814534
LiMgF3,8.4,2.2,10.8,17.6502,2.846,2.163,13.0612708,39.117534,1.592,0.9,307.448,646.684,1.4154,28.7282,1.4722,2.496,56.90188,0.4815674
LiMgI3,34.8,4.0,10.8,82.3902,2.054,1.95906,8.8783468,29.613834,1.898,1.356,507.47,870.19,1.0494,42.6038,3.4186,6.996,67.48,0.484094
LiMgN,7.33333333333,2.33333333333,6.0,15.087,1.77666666667,0.182666666667,9.19068466667,40.09219,1.7,1.13666666667,479.983333333,1018.55166667,1.88166666667,26.2843333333,1.17466666667,4.02,92.4976,0.802419933333
LiMgP,10.0,2.66666666667,6.0,20.7403333333,1.49333333333,0.454833333333,7.841548,36.8149233333,1.78333333333,1.26333333333,564.7,1177.31666667,1.79133333333,24.5176666667,1.36533333333,4.11333333333,95.7,0.803116666667
LiMgSb,22.0,3.33333333333,6.0,51.017,1.44666666667,0.562666666667,7.215448,35.7684233333,1.87,1.36666666667,760.192666667,1612.81666667,1.604,24.9863333333,2.99,10.4666666667,114.223333333,0.883333333333
LiSrAs,24.6666666667,3.66666666667,6.0,56.4936666667,1.37,0.476,6.95838966667,35.0864333333,2.05333333333,1.46666666667,864.65,1384.81666667,1.40566666667,25.43,2.964,12.9,105.466666667,0.567333333333
LiSrBr3,29.2,3.8,10.8,66.8522,2.162,2.1426,9.3055938,30.28862,1.972,1.342,460.33,852.23,1.062,55.744,2.505,5.68,65.635,0.240732
LiSrCl3,18.4,3.2,10.8,40.1822,2.282,2.2938,9.9978918,31.62218,1.912,1.24,403.75,796.526,1.065,30.6994,2.5614,4.12,62.92,0.2400534
LiSrF3,13.6,2.6,10.8,30.3122,2.774,2.163,12.6709938,38.3165,1.744,1.0,332.848,704.084,1.272,29.1124,1.6506,2.356,58.76188,0.2401674
LiSrI3,40.0,4.4,10.8,95.0522,1.982,1.95906,8.4880698,28.8128,2.05,1.456,532.87,927.59,0.906,42.988,3.597,6.856,69.34,0.242694
LiSrN,16.0,3.0,6.0,36.1903333333,1.65666666667,0.182666666667,8.540223,38.7571333333,1.95333333333,1.30333333333,522.316666667,1114.21833333,1.64266666667,26.9246666667,1.472,3.78666666667,95.5976,0.4000866
LiSrP,18.6666666667,3.33333333333,6.0,41.8436666667,1.37333333333,0.454833333333,7.19108633333,35.4798666667,2.03666666667,1.43,607.033333333,1272.98333333,1.55233333333,25.158,1.66266666667,3.88,98.8,0.400783333333
LiSrSb,30.6666666667,4.0,6.0,72.1203333333,1.32666666667,0.562666666667,6.56498633333,34.4333666667,2.12333333333,1.53333333333,802.526,1708.48333333,1.365,25.6266666667,3.28733333333,10.2333333333,117.323333333,0.481
LiZnAs,22.0,3.33333333333,9.33333333333,49.0836666667,1.60333333333,0.476,8.191506,37.3978633333,1.89333333333,1.23333333333,745.492333333,1228.15,1.433,24.9633333333,4.46733333333,12.6833333333,98.2666666667,0.836333333333
